,Localidad,Fecha,Toneladas
121,AMAZONAS,2020-02-21,9820.386996
122,AMAZONAS,2020-02-22,0.396227
123,AMAZONAS,2020-02-24,286050.008982
124,AMAZONAS,2020-02-25,60709.970633
125,AMAZONAS,2020-02-26,158529.872517
126,AMAZONAS,2020-02-27,26197.75742
127,AMAZONAS,2020-02-28,46803.70015
128,AMAZONAS,2020-02-29,162966.775341
129,AMAZONAS,2020-03-01,384.0
130,AMAZONAS,2020-03-02,46080.51845
131,AMAZONAS,2020-03-03,28992.599485
132,AMAZONAS,2020-03-04,7481.30439
133,AMAZONAS,2020-03-05,8689.81817
134,AMAZONAS,2020-03-06,19729.654888
135,AMAZONAS,2020-03-07,2120.432582
136,AMAZONAS,2020-03-09,2944.878173
137,AMAZONAS,2020-03-10,14009.556764
138,AMAZONAS,2020-03-11,2777.118828
139,AMAZONAS,2020-03-12,11960.073347
140,AMAZONAS,2020-03-13,402825.481696
141,AMAZONAS,2020-03-14,30412.630338
142,AMAZONAS,2020-03-16,32048.513329
143,AMAZONAS,2020-03-17,270344.437452
144,AMAZONAS,2020-03-18,3264.808163
145,AMAZONAS,2020-03-19,18998.756161
146,AMAZONAS,2020-03-20,30419.30285
147,AMAZONAS,2020-03-21,37105.068276
148,AMAZONAS,2020-03-23,36914.353304
149,AMAZONAS,2020-03-24,37805.938725
150,AMAZONAS,2020-03-25,33792.694712
151,AMAZONAS,2020-03-26,27216.346534
152,AMAZONAS,2020-03-27,16188.510323
153,AMAZONAS,2020-03-28,12896.3716
154,AMAZONAS,2020-03-30,46297.17329
155,AMAZONAS,2020-03-31,76102.812922
156,AMAZONAS,2020-04-01,12896.0
157,AMAZONAS,2020-04-02,26225.651205
158,AMAZONAS,2020-04-03,15920.470176
159,AMAZONAS,2020-04-04,5762.554554
160,AMAZONAS,2020-04-05,11904.308721
161,AMAZONAS,2020-04-06,2881.03254
162,AMAZONAS,2020-04-07,56152.477905
163,AMAZONAS,2020-04-08,6728.715899
164,AMAZONAS,2020-04-10,12928.06706
165,AMAZONAS,2020-04-11,27720.737319
166,AMAZONAS,2020-04-12,28448.134369
167,AMAZONAS,2020-04-13,13929.109323
168,AMAZONAS,2020-04-14,64138.639725
169,AMAZONAS,2020-04-15,24712.759536
170,AMAZONAS,2020-04-16,45683.052551
171,AMAZONAS,2020-04-17,51072.349281
172,AMAZONAS,2020-04-18,12448.926621
173,AMAZONAS,2020-04-19,29040.537143
174,AMAZONAS,2020-04-20,10258.384331
175,AMAZONAS,2020-04-21,17873.643119
176,AMAZONAS,2020-04-22,68233.669337
177,AMAZONAS,2020-04-23,11481.063
178,AMAZONAS,2020-04-24,56496.477638
179,AMAZONAS,2020-04-25,46418.232728
180,AMAZONAS,2020-04-27,4080.130355
181,AMAZONAS,2020-04-28,97957.712918
182,AMAZONAS,2020-04-29,3639722.509687
183,AMAZONAS,2020-04-30,69913.12264
184,AMAZONAS,2020-05-01,57184.36072
185,AMAZONAS,2020-05-02,0.53334
186,AMAZONAS,2020-05-04,22116.031933
187,AMAZONAS,2020-05-05,4613.692511
188,AMAZONAS,2020-05-06,25914.020504
189,AMAZONAS,2020-05-07,6560.0099
190,AMAZONAS,2020-05-08,21689.833293
191,AMAZONAS,2020-05-09,11906.194546
192,AMAZONAS,2020-05-10,12896.775479
193,AMAZONAS,2020-05-11,41938.565534
194,AMAZONAS,2020-05-12,52273.530342
195,AMAZONAS,2020-05-13,43009.773092
196,AMAZONAS,2020-05-14,45973.409027
197,AMAZONAS,2020-05-15,130981.866348
198,AMAZONAS,2020-05-16,52040.332267
199,AMAZONAS,2020-05-17,33680.289454
200,AMAZONAS,2020-05-18,72259.458346
201,AMAZONAS,2020-05-19,15506.79412
202,AMAZONAS,2020-05-20,31905.811934
203,AMAZONAS,2020-05-21,52357.394712
204,AMAZONAS,2020-05-22,66808.807475
205,AMAZONAS,2020-05-23,44882.323028
206,AMAZONAS,2020-05-24,11718.52905
207,AMAZONAS,2020-05-25,56036.760808
208,AMAZONAS,2020-05-26,42074.86317
209,AMAZONAS,2020-05-27,55096.96324
210,AMAZONAS,2020-05-28,66162.680056
211,AMAZONAS,2020-05-29,1732.812496
212,AMAZONAS,2020-05-30,39595.163098
213,AMAZONAS,2020-06-01,0.010889
214,AMAZONAS,2020-06-02,55736.271817
215,AMAZONAS,2020-06-03,26600.758652
216,AMAZONAS,2020-06-04,11520.985297
217,AMAZONAS,2020-06-05,44833.203554
218,AMAZONAS,2020-06-06,24672.221485
219,AMAZONAS,2020-06-08,22314.139363
220,AMAZONAS,2020-06-09,105810.529303
221,AMAZONAS,2020-06-10,80467.683806
222,AMAZONAS,2020-06-11,16115.114352
223,AMAZONAS,2020-06-12,11305.395336
224,AMAZONAS,2020-06-13,5809.924105
225,AMAZONAS,2020-06-15,29768.12362
226,AMAZONAS,2020-06-16,33261.062
227,AMAZONAS,2020-06-17,38272.468607
228,AMAZONAS,2020-06-18,8089.215357
229,AMAZONAS,2020-06-19,272482.779672
230,AMAZONAS,2020-06-20,634922.504524
231,AMAZONAS,2020-06-22,37425.188805
232,AMAZONAS,2020-06-23,1430865.271985
233,AMAZONAS,2020-06-24,40640.388388
234,AMAZONAS,2020-06-25,12192.234452
235,AMAZONAS,2020-06-26,9601.759789
236,AMAZONAS,2020-06-27,2880.1709
237,AMAZONAS,2020-06-29,86800.489104
238,AMAZONAS,2020-06-30,501257.38665
239,AMAZONAS,2020-07-01,7312.090876
240,AMAZONAS,2020-07-02,47777.441916
241,AMAZONAS,2020-07-03,35377.894339
242,AMAZONAS,2020-07-04,6481.422663
243,AMAZONAS,2020-07-05,56704.109906
244,AMAZONAS,2020-07-06,11905.890479
245,AMAZONAS,2020-07-07,63890.850458
246,AMAZONAS,2020-07-08,1905.14764
247,AMAZONAS,2020-07-09,39793.874165
248,AMAZONAS,2020-07-10,28769.438277
249,AMAZONAS,2020-07-11,14256.987491
250,AMAZONAS,2020-07-13,21104.514144
251,AMAZONAS,2020-07-14,61969.082517
252,AMAZONAS,2020-07-15,22832.340751
253,AMAZONAS,2020-07-16,22208.399413
254,AMAZONAS,2020-07-17,2280.855073
255,AMAZONAS,2020-07-18,7808.843193
256,AMAZONAS,2020-07-20,56113.88762
257,AMAZONAS,2020-07-21,17314.837821
258,AMAZONAS,2020-07-22,15304.26293
259,AMAZONAS,2020-07-23,15942.221154
260,AMAZONAS,2020-07-24,50613.656963
261,AMAZONAS,2020-07-25,89872.805945
262,AMAZONAS,2020-07-26,1.234879
263,AMAZONAS,2020-07-27,257058.399334
264,AMAZONAS,2020-07-28,289001.517263
265,AMAZONAS,2020-07-29,16240.545331
266,AMAZONAS,2020-07-30,25393.059679
267,AMAZONAS,2020-07-31,64288.057817
268,AMAZONAS,2020-08-01,3072.094377
269,AMAZONAS,2020-08-02,0.298495
270,AMAZONAS,2020-08-03,14600.891229
271,AMAZONAS,2020-08-04,38925.790357
272,AMAZONAS,2020-08-05,30977.048766
273,AMAZONAS,2020-08-06,61689.579589
274,AMAZONAS,2020-08-07,32097.036011
275,AMAZONAS,2020-08-08,6240.605974
276,AMAZONAS,2020-08-10,21096.90519
277,AMAZONAS,2020-08-11,58097.036523
278,AMAZONAS,2020-08-12,57849.143987
279,AMAZONAS,2020-08-13,48065.644401
280,AMAZONAS,2020-08-14,38983.896178
281,AMAZONAS,2020-08-15,41425.223123
282,AMAZONAS,2020-08-17,41606.288736
283,AMAZONAS,2020-08-18,15002.011164
284,AMAZONAS,2020-08-19,15872.844952
285,AMAZONAS,2020-08-20,31961.234848
286,AMAZONAS,2020-08-21,9328.03215
287,AMAZONAS,2020-08-22,8512.197906
288,AMAZONAS,2020-08-24,480340.833024
289,AMAZONAS,2020-08-25,18890.965798
290,AMAZONAS,2020-08-26,48753.431277
291,AMAZONAS,2020-08-27,49743.42449
292,AMAZONAS,2020-08-28,76305.705544
293,AMAZONAS,2020-08-29,75634.180974
294,AMAZONAS,2020-08-30,174832.71596
295,AMAZONAS,2020-08-31,62369.524641
296,AMAZONAS,2020-09-01,33648.280746
297,AMAZONAS,2020-09-02,43250.302801
298,AMAZONAS,2020-09-03,22016.566122
299,AMAZONAS,2020-09-04,9080.180782
300,AMAZONAS,2020-09-05,5128.286048
301,AMAZONAS,2020-09-07,10769.356625
302,AMAZONAS,2020-09-08,33410.368741
303,AMAZONAS,2020-09-09,57584.213222
304,AMAZONAS,2020-09-10,25405.270821
305,AMAZONAS,2020-09-11,44569.395486
306,AMAZONAS,2020-09-12,30256.870334
307,AMAZONAS,2020-09-14,82259.010524
308,AMAZONAS,2020-09-15,31626.399717
309,AMAZONAS,2020-09-16,41153.260989
310,AMAZONAS,2020-09-17,57766.934901
311,AMAZONAS,2020-09-18,57132.796349
312,AMAZONAS,2020-09-19,12768.706155
313,AMAZONAS,2020-09-20,17264.1858
314,AMAZONAS,2020-09-21,26480.915034
315,AMAZONAS,2020-09-22,63632.515926
316,AMAZONAS,2020-09-23,25166.868107
317,AMAZONAS,2020-09-24,396736.716489
318,AMAZONAS,2020-09-25,13545.027079
319,AMAZONAS,2020-09-26,33256.777368
320,AMAZONAS,2020-09-28,320329.313414
321,AMAZONAS,2020-09-29,38890.033602
322,AMAZONAS,2020-09-30,146489.732548
323,AMAZONAS,2020-10-01,39952.939978
324,AMAZONAS,2020-10-02,8928.495759
325,AMAZONAS,2020-10-03,38296.6461
326,AMAZONAS,2020-10-05,16489.035949
327,AMAZONAS,2020-10-06,44992.648678
328,AMAZONAS,2020-10-07,105804.669922
329,AMAZONAS,2020-10-08,45152.442491
330,AMAZONAS,2020-10-09,102056.516112
331,AMAZONAS,2020-10-10,9672.356581
332,AMAZONAS,2020-10-11,0.109702
333,AMAZONAS,2020-10-12,42592.234561
334,AMAZONAS,2020-10-13,31689.218496
335,AMAZONAS,2020-10-14,55296.407602
